"x"	"y"	"z"
103.955032416067	466.103727532203	-210.441088967781
95.8962906917772	436.458579500105	-193.71621212032
106.777703556877	479.897822943302	-211.723857089306
99.8245682680576	445.344804837022	-198.918922286773
101.635697334467	458.133764268539	-203.252527165081
100.460837912007	452.233471033001	-198.059311921165
99.2943872169106	445.593988786445	-195.203582237008
108.326865201458	480.029170435356	-215.390017423065
108.196264772295	484.70887772959	-216.761204521341
96.6212447103682	436.492742612813	-191.570213730376
98.3096613522904	444.257403927782	-200.30359504042
99.9998282151731	452.678884038502	-197.131679776028
95.1024440066439	432.006902435987	-190.208719241529
102.464579636309	462.724410482063	-208.203835506146
102.371156352421	456.023863355959	-201.935760775282
105.422418454529	472.66865049063	-209.332605201485
96.6481663345201	436.402379295912	-193.799685737645
104.018137812034	462.427457572434	-207.298336884709
103.668728407914	465.232260178677	-205.699440243606
99.4135084145017	450.328104688697	-202.747360730962
94.9546869008702	427.18478251729	-190.065763274746
98.9857410719289	448.57218996832	-198.328959881448
106.667802636344	478.100944022907	-212.345998292454
102.889254059407	461.775651850728	-207.374562570353
102.37562252273	462.053080948785	-203.289239808345
88.459928276071	407.4780218771	-173.488218249864
100.064445806314	447.938299447747	-201.082414026595
102.458835698854	456.160182592288	-205.114923548333
95.459263136862	432.513839217909	-193.362690529356
98.0957950494103	439.277360968606	-195.500132713624
101.262818953752	452.101529629096	-206.063641331684
100.65556556783	454.353422284326	-198.259452774293
103.83063342563	466.359314518093	-209.639469324631
99.4756147077735	451.343200100011	-199.833631958525
99.8129514253445	449.003763529557	-197.922854463148
104.330255576508	465.766889498033	-205.504452368445
100.2243770261	453.473551544427	-196.688168237488
94.8735655406407	429.874804072049	-191.576836306583
96.4208741010199	433.497833605497	-192.417426857918
103.093698600828	459.246638246102	-209.7273887518
103.069496886106	464.705911421215	-209.629986383483
102.803895987455	464.032784917861	-203.609097355748
102.15554197675	457.3439015069	-202.457167731271
104.525319969642	465.111477015121	-212.606502440544
98.2464951628491	442.887564598637	-199.504398775777
105.609270038564	475.293647699119	-213.607462176151
94.6459816798482	429.687301398034	-189.781923016888
103.056101447527	460.823568083706	-202.142688450587
98.417972903215	446.941521255226	-195.58536511563
102.826695863995	458.716843545061	-207.387631250355
99.5354458832064	446.906366189149	-197.47656857276
98.0744084344613	443.562151095417	-192.953578805814
